Fundamentals_Sector_2025_4,Fundamentals_Industry_2025_4,Ticker,Company Name,Fundamentals_Officer_Ms_Count_2025_4,Fundamentals_Officer_Mr_Count_2025_4,Fundamentals_Officer_None_Count_2025_4,Fundamentals_Officer_%female_2025_4,Fundamentals_CEO_age_2025_4,Fundamentals_unclear_gender_2025_4,Fundamentals_Country_2025_4,Fundamentals_Market Cap_2025_4
Basic Materials,Agricultural Inputs,BIOX,Bioceres Crop Solutions Corp.,1,6,0,0.1428571428571428,47.0,[],Argentina,241811200.0
Basic Materials,Agricultural Inputs,CF,"CF Industries Holdings, Inc.",3,7,0,0.3,58.0,[],United States,12560768000.0
Basic Materials,Agricultural Inputs,CTVA,"Corteva, Inc.",3,7,0,0.3,54.0,[],United States,40694034432.0
Basic Materials,Agricultural Inputs,ENFY,Enlightify Inc.,0,6,0,0.0,32.0,[],China,16182757.0
Basic Materials,Agricultural Inputs,FMC,FMC Corporation,2,8,0,0.2,66.0,[],United States,4719672320.0
Basic Materials,Agricultural Inputs,ICL,ICL Group Ltd,6,4,0,0.5,50.0,[],Israel,8200873472.0
Basic Materials,Aluminum,AA,Alcoa Corporation,5,5,0,0.5,57.0,[],United States,5910344192.0
Basic Materials,Aluminum,CENX,Century Aluminum Company,1,9,0,0.1,44.0,[],United States,1390859904.0
Basic Materials,Aluminum,CSTM,Constellium SE,3,5,0,0.375,57.0,[],France,1201940352.0
Basic Materials,Aluminum,KALU,Kaiser Aluminum Corporation,1,7,0,0.125,64.0,[],United States,852521472.0
Basic Materials,Building Materials,CAPS,Capstone Holding Corp.,0,2,0,0.0,45.0,[],United States,2970057.0
Basic Materials,Building Materials,CAPT,Captivision Inc.,0,6,0,0.0,67.0,[],South Korea,16024929.0
Basic Materials,Building Materials,CPAC,Cementos Pacasmayo S.A.A.,3,7,0,0.3,60.0,[],Peru,463712096.0
Basic Materials,Building Materials,CRH,CRH plc,2,8,0,0.2,57.0,[],Ireland,56563838976.0
Basic Materials,Building Materials,EXP,Eagle Materials Inc.,0,8,0,0.0,51.0,[],United States,7066624512.0
Basic Materials,Building Materials,JHX,James Hardie Industries plc,1,9,0,0.1,50.0,[],Ireland,9494702080.0
Basic Materials,Building Materials,KNF,Knife River Corporation,2,8,0,0.2,53.0,[],United States,4967282688.0
Basic Materials,Building Materials,LOMA,Loma Negra Compañía Industrial Argentina Sociedad Anónima,1,5,0,0.0,50.0,[],Argentina,1278555136.0
Basic Materials,Chemicals,ASIX,AdvanSix Inc.,4,4,0,0.5,47.0,[],United States,524184384.0
Basic Materials,Chemicals,CE,Celanese Corporation,2,8,0,0.2,47.0,[],United States,4435740160.0
Basic Materials,Chemicals,DOW,Dow Inc.,5,5,0,0.0,62.0,[],United States,19959005184.0
Basic Materials,Chemicals,GURE,"Gulf Resources, Inc.",1,4,0,0.2,56.0,[],China,9861239.0
Basic Materials,Chemicals,HUN,Huntsman Corporation,2,8,0,0.2,66.0,[],United States,2220486656.0
Basic Materials,Chemicals,LXU,"LSB Industries, Inc.",2,7,0,0.2222222222222222,61.0,[],United States,357204608.0
Basic Materials,Coking Coal,AMR,"Alpha Metallurgical Resources, Inc.",1,5,0,0.1666666666666666,48.0,[],United States,1580943104.0
Basic Materials,Coking Coal,AREC,American Resources Corporation,2,7,0,0.2222222222222222,40.0,[],United States,94841088.0
Basic Materials,Coking Coal,HCC,"Warrior Met Coal, Inc.",1,7,0,0.125,63.0,[],United States,2553330944.0
Basic Materials,Copper,ERO,Ero Copper Corp.,1,7,0,0.125,37.0,[],Canada,1127899136.0
Basic Materials,Copper,FCX,Freeport-McMoRan Inc.,4,6,0,0.4,60.0,[],United States,46865149952.0
Basic Materials,Copper,HBM,Hudbay Minerals Inc.,2,8,0,0.2,68.0,[],Canada,2741293056.0
Basic Materials,Copper,IE,Ivanhoe Electric Inc.,2,8,0,0.2,54.0,[],United States,780807808.0
Basic Materials,Gold,AEM,Agnico Eagle Mines Limited,2,8,0,0.2,60.0,[],Canada,62915641344.0
Basic Materials,Gold,AGI,Alamos Gold Inc.,2,8,0,0.2,64.0,[],Canada,12575411200.0
Basic Materials,Gold,ARMN,Aris Mining Corporation,3,6,0,0.3333333333333333,81.0,[],Canada,957982272.0
Basic Materials,Gold,AU,AngloGold Ashanti plc,3,7,0,0.3,64.0,[],United States,22342471680.0
Basic Materials,Gold,BTG,B2Gold Corp.,2,8,0,0.2,66.0,[],Canada,4579692032.0
Basic Materials,Gold,CDE,"Coeur Mining, Inc.",3,6,0,0.3333333333333333,52.0,[],United States,3953161472.0
Basic Materials,Gold,CGAU,Centerra Gold Inc.,3,7,0,0.3,50.0,[],Canada,1496793984.0
Basic Materials,Gold,CMCL,Caledonia Mining Corporation Plc,3,7,0,0.3,60.0,[],Jersey,270898976.0
Basic Materials,Gold,CTGO,"Contango Ore, Inc.",0,3,0,0.0,68.0,[],United States,171463072.0
